competition_group,electric_utility,gas_utility,building_type,time,total_stock,ret_er_stock,remaining_stock,rob_stock,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock,ret_er_below_baseline_flow,ret_er_baseline_flow,ret_er_efficient_flow,ret_er_top10_flow,rob_below_baseline_flow,rob_baseline_flow,rob_efficient_flow,rob_top10_flow,remaining_below_baseline_flow,remaining_baseline_flow,remaining_efficient_flow,remaining_top10_flow,remaining_baseline_flow_2,remaining_efficient_flow_2,remaining_top10_flow_2
refrigeration,test_utility_1,test_utility_1,multifamily,0,30000.0,9000.0,18000.0,3000.0,3600.0,4500.0,5400.0,4500.0,1800.0,2250.0,2700.0,2250.0,600.0,750.0,900.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,1,30000.0,9000.0,18000.0,3000.0,3000.0,3750.0,4500.0,6750.0,1776.0,2220.0,2664.0,2340.0,588.0,735.0,882.0,795.0,36.0,45.0,54.0,-135.0,600.0,750.0,900.0,-2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,2,30000.0,8999.999999999998,18000.0,3000.0,2500.0,3125.0,3750.0,8625.0,1660.32,2075.3999999999996,2490.4799999999996,2773.7999999999997,580.16,725.1999999999999,870.2399999999999,824.3999999999999,35.51999999999998,44.40000000000009,53.2800000000002,-133.19999999999982,588.0,735.0,882.0,-2205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,3,30000.0,9000.0,18000.0,2999.9999999999995,2083.3333333333335,2604.166666666667,3125.0,10187.5,1501.4090666666666,1876.761333333333,2252.1135999999997,3369.7159999999994,542.3711999999999,677.9639999999998,813.5567999999998,966.1079999999998,33.20640000000003,41.50800000000004,49.809600000000046,-124.52399999999989,580.16,725.1999999999999,870.2399999999999,-2175.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,4,29999.999999999996,8999.999999999998,18000.0,2999.999999999999,1736.1111111111113,2170.138888888889,2604.166666666667,11489.583333333334,1328.1428124444444,1660.1785155555554,1992.2142186666663,4019.4644533333326,490.46029511111107,613.0753688888888,735.6904426666665,1160.773893333333,30.02818133333335,37.53522666666663,45.04227200000014,-112.60568000000012,542.3711999999999,677.9639999999998,813.5567999999998,-2033.8919999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,5,30000.0,9000.0,18000.0,2999.999999999999,1446.7592592592596,1808.4490740740744,2170.138888888889,12574.652777777777,1157.0718226488889,1446.3397783111109,1735.607733973333,4660.980665066666,433.85998539851846,542.324981748148,650.7899780977776,1373.0250547555552,26.56285624888892,33.20357031111121,39.84428437333327,-99.61071093333294,490.46029511111107,613.0753688888888,735.6904426666665,-1839.226106666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,6,30000.0,9000.0,18000.0,2999.9999999999995,1205.6327160493831,1507.0408950617286,1808.4490740740744,13478.877314814814,997.0801340071506,1246.3501675089383,1495.6202010107256,5260.949497473184,377.976795398637,472.4709942482962,566.9651930979554,1582.5870172551108,23.141436452977814,28.926795566222154,34.71215467946672,-86.78038669866692,433.85998539851846,542.324981748148,650.7899780977776,-1626.974945244444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,7,30000.0,8999.999999999998,18000.0,2999.9999999999995,1004.6939300411526,1255.8674125514406,1507.0408950617286,14232.39776234568,852.3644735595689,1065.4555919494612,1278.546710339353,5803.633224151616,325.71284377566917,407.1410547195865,488.56926566350364,1778.5768358412402,19.941602680142978,24.927003350178666,29.91240402021458,-74.78101005053668,377.976795398637,472.4709942482962,566.9651930979554,-1417.4129827448887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,8,30000.0,9000.0,18000.0,2999.9999999999995,837.2449417009606,1046.5561771262005,1255.8674125514406,14860.3314686214,724.327111065777,905.4088888322215,1086.4906665986653,6283.773333503335,278.4390613627925,348.0488267034907,417.6585920441886,1955.853519889528,17.047289471191334,21.30911183898911,25.570934206787115,-63.927335516968014,325.71284377566917,407.1410547195865,488.56926566350364,-1221.4231641587594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily,9,30000.0,9000.0,18000.0,2999.9999999999995,697.7041180841338,872.1301476051672,1046.5561771262005,15383.6095571845,612.7678695131344,765.959836891418,919.1518042697014,6702.120489325745,236.61352294815381,295.76690368519235,354.9202844222307,2112.6992889444227,14.486542221315517,18.108177776644425,21.72981333197322,-54.32453332993373,278.4390613627925,348.0488267034907,417.6585920441886,-1044.1464801104717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
