competition_group,electric_utility,gas_utility,building_type,time,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
refrigeration,none,test_utility_1,multi_family_li,11,0.0,-1557.7416256652316,1557.7416256652316,0.0,0.0,-682.7839316194845,682.7839316194847,0.0,0.0,-215.61780324321916,215.6178032432192,0.0
refrigeration,none,test_utility_1,multi_family_li,12,0.0,-1598.118021387693,1598.118021387693,0.0,0.0,-717.7091062689351,717.7091062689352,0.0,0.0,-229.0427509956983,229.04275099569833,0.0
refrigeration,none,test_utility_1,multi_family_li,13,0.0,-1631.7650178230776,1631.7650178230774,0.0,0.0,-747.2562863269865,747.2562863269865,0.0,0.0,-240.45164138118545,240.45164138118548,0.0
refrigeration,none,test_utility_1,multi_family_li,14,0.0,-1659.8041815192314,1659.8041815192312,0.0,0.0,-772.1682767041441,772.168276704144,0.0,0.0,-250.10372020014893,250.10372020014887,0.0
refrigeration,none,test_utility_1,multi_family_li,15,0.0,-1683.170151266026,1683.170151266026,0.0,0.0,-793.1173043665794,793.1173043665792,0.0,0.0,-258.24163705668707,258.24163705668707,0.0
refrigeration,none,test_utility_1,multi_family_li,16,0.0,-1702.6417927216885,1702.6417927216885,0.0,0.0,-810.6983307305029,810.6983307305028,0.0,0.0,-265.0849860930826,265.08498609308253,0.0
refrigeration,none,test_utility_1,multi_family_li,17,0.0,-1718.8681606014072,1718.8681606014072,0.0,0.0,-825.4298748642099,825.4298748642099,0.0,0.0,-270.82812137196424,270.82812137196424,0.0
refrigeration,none,test_utility_1,multi_family_li,18,0.0,-1732.390133834506,1732.390133834506,0.0,0.0,-837.7588783448515,837.7588783448515,0.0,0.0,-275.6404257889752,275.64042578897516,0.0
refrigeration,none,test_utility_1,multi_family_li,19,0.0,-1743.6584448620883,1743.6584448620883,0.0,0.0,-848.067489491054,848.0674894910541,0.0,0.0,-279.6679002593182,279.6679002593182,0.0
refrigeration,none,test_utility_1,single_family_li,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
