competition_group,electric_utility,gas_utility,building_type,time,total_stock,ret_er_stock,remaining_stock,rob_stock,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
refrigeration,test_utility_1,test_utility_1,multi_family,0,6000.0,1800.0,3600.0,600.0,720.0,900.0,1080.0,900.0,360.0,450.0,540.0,450.0,120.0,150.0,180.0,150.0
refrigeration,test_utility_1,test_utility_1,multi_family,1,6004.0,1792.9999999999998,3610.0000000000005,601.0,599.0,752.0833333333334,1506.8333333333333,752.0833333333334,352.108,440.76,556.372,443.76,117.404,146.755,189.086,147.755
refrigeration,test_utility_1,test_utility_1,multi_family,2,6008.0,1789.9999999999998,3619.333333333334,598.6666666666666,498.33687353774167,629.0275853753644,1862.941289044863,629.0275853753644,326.8265134335002,410.1204215173437,637.9759156520125,415.07714939714333,114.82949499907045,143.7406938092582,194.37742375906302,145.71905409927493
refrigeration,test_utility_1,test_utility_1,multi_family,3,6012.0,1789.5555555555554,3624.7777777777774,597.6666666666666,414.5914229559809,526.6529100043664,2156.880534813064,526.6529100043664,293.58754865929643,369.6607763016713,750.4134664187121,375.89376417587545,106.58439477012134,133.74813582615704,220.96951620944944,136.36461986093875
refrigeration,test_utility_1,test_utility_1,multi_family,4,6016.0,1790.1666666666663,3628.314814814815,597.5185185185184,344.9199456763534,441.4829984031928,2400.428872332076,441.4829984031928,257.9735682167153,326.2375149648516,872.6526475071413,333.30293597795816,95.74449089355872,120.55341921667869,257.63449314067424,123.58611526760676
refrigeration,test_utility_1,test_utility_1,multi_family,5,6020.0,1791.1635802469134,3631.1141975308647,597.7222222222221,286.9570258873182,370.6262364827179,2602.9046986781104,370.6262364827179,223.15228846924248,283.7439842354958,992.9149495603573,291.35235798181776,84.13014184117188,106.39232770098195,297.5032553073279,109.69649737274035
refrigeration,test_utility_1,test_utility_1,multi_family,6,6024.0,1792.2947530864194,3633.6507201646095,598.054526748971,238.73490473312725,311.67713144979376,2771.561552531895,311.67713144979376,190.79617463137544,244.2383635894848,1105.0593350160182,252.200879849541,72.77432083818138,92.53445656464322,336.7300534634133,96.01569588273314
refrigeration,test_utility_1,test_utility_1,multi_family,7,6028.0,1793.471622085048,3636.0967935528124,598.4315843621398,198.6165640214367,262.6345067491609,2912.211216033054,262.6345067491609,161.66865225328348,208.66281970724208,1206.2838211517314,216.856328972791,62.2224258811614,79.65098621680534,373.31045118737325,83.24772107679982
refrigeration,test_utility_1,test_utility_1,multi_family,8,6032.000000000001,1794.6638803155006,3638.512245656151,598.8238740283493,165.2401146455036,221.83351844585354,3029.60509411894,221.83351844585354,135.9952832039578,177.29890588737933,1295.7266061983075,185.64308502585607,52.723419738239784,68.04916892579674,406.3300472271027,71.7212381372101
refrigeration,test_utility_1,test_utility_1,multi_family,9,6036.0,1795.8612944863587,3640.917412075142,599.2212934385002,137.4725495820464,187.88912009813782,3127.6666222968197,187.88912009813782,113.69659488496286,150.05326322127848,1373.615714252246,158.49572212787115,44.350863819624,57.820826172231904,435.50756853879676,61.542034907847516
refrigeration,test_utility_1,test_utility_1,multi_family,10,6040.0,1797.060431670096,3643.3191368344515,599.6204314954529,114.37127483816293,159.64903606218672,3209.6497898719153,159.64903606218672,94.5322417369911,126.63455445030813,1440.7525134225862,135.14112206021048,37.07884352608988,48.93551537924564,460.91729434411894,52.68877824599834
refrigeration,test_utility_1,test_utility_1,multi_family,11,6044.000000000001,1798.2601439191392,3645.71971219083,600.0201438900319,95.15210734307875,136.15464041506038,3278.2583240176305,136.15464041506038,78.18863133639235,106.66104133998275,1498.2010414483743,115.20942979438966,30.828980558099147,41.29822952886168,482.82053111758984,45.072402685481286
refrigeration,test_utility_1,test_utility_1,multi_family,12,6048.000000000001,1799.4600479778974,3648.1199040490574,600.4200479730464,79.16265179723916,116.60841142375816,3335.7404294043017,116.60841142375816,64.33075280706255,89.72424157172294,1547.1051398620075,98.2999137371044,25.499009017144292,34.78447964135589,501.5642647369859,38.57229457756029
refrigeration,test_utility_1,test_utility_1,multi_family,13,6052.000000000001,1800.660015993441,3650.5199680139276,600.8200159926324,65.86015212248262,100.34685600814588,3383.9661038751533,100.34685600814588,52.631551816115014,75.4250333735461,1588.5849233331135,84.01850747066645,20.97967755309237,29.261054390519355,517.5215137958668,33.05777025315388
refrigeration,test_utility_1,test_utility_1,multi_family,14,6056.000000000001,1801.8600053312819,3652.919989337572,601.2200053311469,54.7930653743295,86.81798473737727,3424.490954488488,86.81798473737727,42.78740512734529,63.392699675001886,1623.6821092822838,71.99779124665095,17.16432914049599,24.597794546883303,531.0575625127976,28.4003191309701
refrigeration,test_utility_1,test_utility_1,multi_family,15,6060.000000000002,1803.0600017771164,3655.319996445791,601.620001777094,45.58573245462316,75.56257251625006,3458.6091189586678,75.56257251625006,34.52514808799339,53.29360187409731,1653.3349746926017,61.90627712242415,13.95394769034979,20.673803718227802,542.5121302283394,24.480120140176965
